"EntityID","TimeCell","Value"
"1","HR-Mean-HR.1",0.960159610948314
"2","HR-Mean-HR.1",0.872872373589376
"3","HR-Mean-HR.1",0.872872373589376
"4","HR-Mean-HR.1",0.960159610948314
"5","HR-Mean-HR.1",1.64598790448282
"6","HR-Mean-HR.1",0.960159610948314
"7","HR-Mean-HR.1",0.872872373589376
"8","HR-Mean-HR.1",0.960159610948314
"9","HR-Mean-HR.1",0.872872373589376
"10","HR-Mean-HR.1",0.872872373589376
"11","HR-Mean-HR.1",0.872872373589376
"12","HR-Mean-HR.1",0.872872373589376
"13","HR-Mean-HR.1",0.872872373589376
"14","HR-Mean-HR.1",0.872872373589376
"15","HR-Mean-HR.1",0.872872373589376
"16","HR-Mean-HR.1",0.960159610948314
"17","HR-Mean-HR.1",0.872872373589376
"18","HR-Mean-HR.1",0.872872373589376
"19","HR-Mean-HR.1",0.872872373589376
"20","HR-Mean-HR.1",0.872872373589376
"21","HR-Mean-HR.1",0.872872373589376
"22","HR-Mean-HR.1",0.872872373589376
"23","HR-Mean-HR.1",0.872872373589376
"24","HR-Mean-HR.1",0.872872373589376
"25","HR-Mean-HR.1",0.872872373589376
"26","HR-Mean-HR.1",0.872872373589376
"27","HR-Mean-HR.1",0.872872373589376
"28","HR-Mean-HR.1",0.872872373589376
"29","HR-Mean-HR.1",0.872872373589376
"30","HR-Mean-HR.1",0.872872373589376
"31","HR-Mean-HR.1",0.872872373589376
"32","HR-Mean-HR.1",0.872872373589376
"33","HR-Mean-HR.1",0.960159610948314
"34","HR-Mean-HR.1",0.872872373589376
"35","HR-Mean-HR.1",0.872872373589376
"36","HR-Mean-HR.1",0.872872373589376
"37","HR-Mean-HR.1",0.960159610948314
"38","HR-Mean-HR.1",0.872872373589376
"39","HR-Mean-HR.1",0.872872373589376
"40","HR-Mean-HR.1",1.64598790448282
"41","HR-Mean-HR.1",0.872872373589376
"42","HR-Mean-HR.1",0.960159610948314
"43","HR-Mean-HR.1",1.64598790448282
"44","HR-Mean-HR.1",0.960159610948314
"45","HR-Mean-HR.1",0.872872373589376
"46","HR-Mean-HR.1",1.64598790448282
"47","HR-Mean-HR.1",0.960159610948314
"48","HR-Mean-HR.1",0.872872373589376
"49","HR-Mean-HR.1",0.872872373589376
"50","HR-Mean-HR.1",0.872872373589376
"51","HR-Mean-HR.1",0.872872373589376
"52","HR-Mean-HR.1",0.872872373589376
"53","HR-Mean-HR.1",0.872872373589376
"54","HR-Mean-HR.1",0.960159610948314
"55","HR-Mean-HR.1",0.872872373589376
"56","HR-Mean-HR.1",0.960159610948314
"57","HR-Mean-HR.1",0.960159610948314
"58","HR-Mean-HR.1",0.960159610948314
"59","HR-Mean-HR.1",0.872872373589376
"60","HR-Mean-HR.1",0.872872373589376
"61","HR-Mean-HR.1",0.872872373589376
"62","HR-Mean-HR.1",0.872872373589376
"63","HR-Mean-HR.1",1.64598790448282
"64","HR-Mean-HR.1",0.960159610948314
"65","HR-Mean-HR.1",0.872872373589376
"66","HR-Mean-HR.1",0.960159610948314
"67","HR-Mean-HR.1",0.872872373589376
"68","HR-Mean-HR.1",0.872872373589376
"69","HR-Mean-HR.1",0.872872373589376
"70","HR-Mean-HR.1",0.872872373589376
"71","HR-Mean-HR.1",0.872872373589376
"72","HR-Mean-HR.1",0.872872373589376
"73","HR-Mean-HR.1",0.872872373589376
"74","HR-Mean-HR.1",0.872872373589376
"75","HR-Mean-HR.1",1.64598790448282
"76","HR-Mean-HR.1",0.960159610948314
"77","HR-Mean-HR.1",0.872872373589376
"78","HR-Mean-HR.1",0.872872373589376
"79","HR-Mean-HR.1",0.872872373589376
"80","HR-Mean-HR.1",0.872872373589376
"81","HR-Mean-HR.1",0.960159610948314
"82","HR-Mean-HR.1",1.64598790448282
"83","HR-Mean-HR.1",0.960159610948314
"84","HR-Mean-HR.1",1.64598790448282
"85","HR-Mean-HR.1",0.960159610948314
"86","HR-Mean-HR.1",0.872872373589376
"87","HR-Mean-HR.1",0.872872373589376
"88","HR-Mean-HR.1",0.872872373589376
"89","HR-Mean-HR.1",0.872872373589376
"90","HR-Mean-HR.1",1.64598790448282
"91","HR-Mean-HR.1",0.872872373589376
"92","HR-Mean-HR.1",1.64598790448282
"93","HR-Mean-HR.1",0.960159610948314
"94","HR-Mean-HR.1",0.872872373589376
"95","HR-Mean-HR.1",0.960159610948314
"96","HR-Mean-HR.1",0.960159610948314
"97","HR-Mean-HR.1",0.872872373589376
"98","HR-Mean-HR.1",0.872872373589376
"99","HR-Mean-HR.1",0.872872373589376
"100","HR-Mean-HR.1",0.872872373589376
"101","HR-Mean-HR.1",0.872872373589376
"102","HR-Mean-HR.1",0.960159610948314
"103","HR-Mean-HR.1",0.872872373589376
"104","HR-Mean-HR.1",0.960159610948314
"105","HR-Mean-HR.1",0.872872373589376
"106","HR-Mean-HR.1",1.64598790448282
"107","HR-Mean-HR.1",0.872872373589376
"108","HR-Mean-HR.1",0.872872373589376
"109","HR-Mean-HR.1",0.872872373589376
"110","HR-Mean-HR.1",0.872872373589376
"111","HR-Mean-HR.1",0.872872373589376
"112","HR-Mean-HR.1",0.872872373589376
"113","HR-Mean-HR.1",0.872872373589376
"114","HR-Mean-HR.1",0.872872373589376
"115","HR-Mean-HR.1",0.872872373589376
"116","HR-Mean-HR.1",0.960159610948314
"117","HR-Mean-HR.1",0.960159610948314
"118","HR-Mean-HR.1",1.64598790448282
"119","HR-Mean-HR.1",0.872872373589376
"120","HR-Mean-HR.1",0.872872373589376
"121","HR-Mean-HR.1",0.872872373589376
"122","HR-Mean-HR.1",0.872872373589376
"123","HR-Mean-HR.1",0.872872373589376
"124","HR-Mean-HR.1",0.872872373589376
"125","HR-Mean-HR.1",1.64598790448282
"126","HR-Mean-HR.1",0.872872373589376
"127","HR-Mean-HR.1",0.872872373589376
"128","HR-Mean-HR.1",1.64598790448282
"129","HR-Mean-HR.1",1.64598790448282
"130","HR-Mean-HR.1",0.872872373589376
"131","HR-Mean-HR.1",0.872872373589376
"132","HR-Mean-HR.1",0.872872373589376
"133","HR-Mean-HR.1",0.960159610948314
"134","HR-Mean-HR.1",0.872872373589376
"135","HR-Mean-HR.1",0.872872373589376
"136","HR-Mean-HR.1",0.872872373589376
"137","HR-Mean-HR.1",0.872872373589376
"138","HR-Mean-HR.1",0.872872373589376
"139","HR-Mean-HR.1",0.872872373589376
"140","HR-Mean-HR.1",0.872872373589376
"141","HR-Mean-HR.1",0.872872373589376
"142","HR-Mean-HR.1",0.872872373589376
"143","HR-Mean-HR.1",1.64598790448282
"144","HR-Mean-HR.1",0.872872373589376
"145","HR-Mean-HR.1",0.872872373589376
"146","HR-Mean-HR.1",0.960159610948314
"147","HR-Mean-HR.1",0.872872373589376
"148","HR-Mean-HR.1",0.872872373589376
"149","HR-Mean-HR.1",0.960159610948314
"150","HR-Mean-HR.1",0.960159610948314
"151","HR-Mean-HR.1",0.960159610948314
"152","HR-Mean-HR.1",0.872872373589376
"153","HR-Mean-HR.1",0.872872373589376
"154","HR-Mean-HR.1",0.872872373589376
"155","HR-Mean-HR.1",0.872872373589376
